c Problem:    
c Rows:       54
c Columns:    72
c Non-zeros:  204
c Status:     INTEGER OPTIMAL
c Objective:  CoutTotal = 22 (MINimum)
c
s mip 54 72 o 22
i 1 0
i 2 0
i 3 0
i 4 0
i 5 0
i 6 0
i 7 -5
i 8 0
i 9 0
i 10 0
i 11 0
i 12 0
i 13 0
i 14 0
i 15 0
i 16 -1
i 17 0
i 18 0
i 19 0
i 20 0
i 21 0
i 22 0
i 23 0
i 24 -2
i 25 0
i 26 -4
i 27 0
i 28 0
i 29 0
i 30 0
i 31 0
i 32 0
i 33 0
i 34 0
i 35 -3
i 36 0
i 37 -5
i 38 1
i 39 1
i 40 1
i 41 1
i 42 1
i 43 1
i 44 1
i 45 1
i 46 1
i 47 1
i 48 1
i 49 1
i 50 1
i 51 1
i 52 1
i 53 1
i 54 1
j 1 0
j 2 1
j 3 0
j 4 0
j 5 0
j 6 1
j 7 0
j 8 0
j 9 0
j 10 0
j 11 0
j 12 0
j 13 1
j 14 0
j 15 0
j 16 0
j 17 0
j 18 0
j 19 0
j 20 1
j 21 0
j 22 1
j 23 0
j 24 0
j 25 0
j 26 0
j 27 0
j 28 0
j 29 0
j 30 1
j 31 0
j 32 0
j 33 0
j 34 5
j 35 0
j 36 0
j 37 0
j 38 0
j 39 0
j 40 0
j 41 0
j 42 0
j 43 0
j 44 0
j 45 0
j 46 0
j 47 0
j 48 0
j 49 4
j 50 0
j 51 0
j 52 0
j 53 0
j 54 0
j 55 0
j 56 0
j 57 0
j 58 3
j 59 0
j 60 1
j 61 0
j 62 0
j 63 0
j 64 0
j 65 0
j 66 0
j 67 0
j 68 0
j 69 0
j 70 2
j 71 0
j 72 0
e o f
